Rank,Name,Assoc,Points
1,FAN Zhendong,CHN,12494
2,MA Long,CHN,12212
3,XU Xin,CHN,10356
4,Tomokazu HARIMOTO,JPN,8709
5,Hugo CALDERANO,BRA,8464
6,LIN Yun-Ju,TPE,8375
7,LIN Gaoyuan,CHN,8034
8,Dimitrij OVTCHAROV,GER,8024
9,Mattias FALCK,SWE,7357
10,Timo BOLL,GER,7086
11,JANG Woojin,KOR,6731
12,LIANG Jingkun,CHN,6723
13,JEOUNG Youngsik,KOR,6485
14,Liam PITCHFORD,ENG,6295
15,Patrick FRANZISKA,GER,6277
16,Quadri ARUNA,NGR,5888
17,WANG Chuqin,CHN,5871
18,Koki NIWA,JPN,5841
19,Simon GAUZY,FRA,5818
20,LEE Sangsu,KOR,5742
21,WONG Chun Ting,HKG,5592
22,Jun MIZUTANI,JPN,5482
23,Darko JORGIC,SLO,5067
24,Marcos FREITAS,POR,4848
25,CHUANG Chih-Yuan,TPE,4789
26,ZHAO Zihao,CHN,4650
27,Robert GARDOS,AUT,4524
28,Kristian KARLSSON,SWE,4269
29,Omar ASSAR,EGY,4267
30,Kanak JHA,USA,4177
31,Vladimir SAMSONOV,BLR,4175
32,Sharath Kamal ACHANTA,IND,4146
33,Jonathan GROTH,DEN,4123
34,Tomislav PUCAR,CRO,4016
35,Yang WANG,SVK,3948
36,Ruwen FILUS,GER,3899
37,Sathiyan GNANASEKARAN,IND,3792
38,Gustavo TSUBOI,BRA,3790
39,Emmanuel LEBESSON,FRA,3739
40,Yukiya UDA,JPN,3716
41,AN Jaehyun,KOR,3578
42,Benedikt DUDA,GER,3522
43,Daniel HABESOHN,AUT,3485
44,Jon PERSSON,SWE,3465
45,Kirill GERASSIMENKO,KAZ,3417
46,Andrej GACINA,CRO,3307
47,Takuya JIN,JPN,3276
48,Ahmed SALEH,EGY,3210
49,Masataka MORIZONO,JPN,3161
50,Panagiotis GIONIS,GRE,3136
51,Anton KALLBERG,SWE,3099
52,Dang QIU,GER,3086
53,Kirill SKACHKOV,RUS,3043
54,Kazuhiro YOSHIMURA,JPN,3013
55,Pavel SIRUCEK,CZE,2998
56,Ovidiu IONESCU,ROU,2911
57,Lei KOU,UKR,2911
58,Paul DRINKHALL,ENG,2910
59,Tiago APOLONIA,POR,2876
60,Ibrahima DIAW,SEN,2868
61,Bence MAJOROS,HUN,2825
62,Bojan TOKIC,SLO,2791
63,Vitor ISHIY,BRA,2787
64,Alvaro ROBLES,ESP,2785
65,Marcelo AGUIRRE,PAR,2783
66,Mizuki OIKAWA,JPN,2736
67,Lubomir PISTEJ,SVK,2721
68,Jakub DYJAS,POL,2718
69,Noshad ALAMIYAN,IRI,2715
70,LIM Jonghoon,KOR,2707
71,Maharu YOSHIMURA,JPN,2694
72,Cedric NUYTINCK,BEL,2683
73,Harmeet DESAI,IND,2681
74,CHEN Chien-An,TPE,2679
75,Horacio CIFUENTES,ARG,2659
76,Marcos MADRID,MEX,2605
77,CHO Seungmin,KOR,2601
78,Benedek OLAH,FIN,2597
79,Truls MOREGARD,SWE,2586
80,Alberto MINO,ECU,2586
81,Joao MONTEIRO,POR,2576
82,Can AKKUZU,FRA,2561
83,Anders LIND,DEN,2497
84,LAM Siu Hang,HKG,2490
85,Lubomir JANCARIK,CZE,2480
86,Marek BADOWSKI,POL,2475
87,Alexander SHIBAEV,RUS,2471
88,Olajide OMOTAYO,NGR,2460
89,Thiago MONTEIRO,BRA,2444
90,Ricardo WALTHER,GER,2443
91,Joao GERALDO,POR,2441
92,Eric JOUTI,BRA,2427
93,Brian AFANADOR,PUR,2419
94,Cristian PLETEA,ROU,2418
95,Stefan FEGERL,AUT,2406
96,Frane KOJIC,CRO,2380
97,HO Kwan Kit,HKG,2316
98,Samuel WALKER,ENG,2306
99,Shunsuke TOGAMI,JPN,2299
100,Yuki HIRANO,JPN,2298
101,Gaston ALTO,ARG,2284
102,Amalraj ANTHONY,IND,2263
103,Niagol STOYANOV,ITA,2246
104,XU Chenhao,CHN,2214
105,Florent LAMBIET,BEL,2098
106,Yevhen PRYSHCHEPA,UKR,2087
107,SUN Wen,CHN,2076
108,Supanut WISUTMAYTHANGKOON,THA,2058
109,YAN An,CHN,2040
110,Deni KOZUL,SLO,2026
111,XIANG Peng,CHN,2022
112,XU Yingbin,CHN,2016
113,Aleksandar KARAKASEVIC,SRB,2012
114,Zokhid KENJAEV,UZB,2006
115,Adam SZUDI,HUN,2003
116,Tristan FLORE,FRA,1992
117,LIAO Cheng-Ting,TPE,1990
118,Khalid ASSAR,EGY,1973
119,XU Haidong,CHN,1968
120,Robin DEVOS,BEL,1964
121,Kenta MATSUDAIRA,JPN,1950
122,Martin ALLEGRO,BEL,1943
123,ZHOU Qihao,CHN,1920
124,Mihai BOBOCICA,ITA,1900
125,Nima ALAMIAN,IRI,1889
126,Yuta TANAKA,JPN,1873
127,Bastian STEGER,GER,1872
128,Hunor SZOCS,ROU,1866
129,CHO Daeseong,KOR,1846
130,ZHENG Peifeng,CHN,1836
131,Pavel PLATONOV,BLR,1829
132,Heming HU,AUS,1827
133,Andrea LANDRIEU,FRA,1824
134,Nandor ECSEKI,HUN,1824
135,Manav Vikash THAKKAR,IND,1803
136,Saheed IDOWU,CGO,1797
137,YU Ziyang,CHN,1791
138,Andreas LEVENKO,AUT,1781
139,Yaroslav ZHMUDENKO,UKR,1774
140,AN Ji Song,PRK,1767
141,Tomas POLANSKY,CZE,1766
142,PENG Wang-Wei,TPE,1758
143,Steffen MENGEL,GER,1731
144,Alexandre CASSIN,FRA,1730
145,Bode ABIODUN,NGR,1728
146,XUE Fei,CHN,1710
147,Daniel GONZALEZ,PUR,1697
148,Sami KHEROUF,ALG,1668
149,Alexandre ROBINOT,FRA,1665
150,PARK Ganghyeon,KOR,1659
151,Ioannis SGOUROPOULOS,GRE,1641
152,Aleksandr KHANIN,BLR,1637
153,Rares SIPOS,ROU,1633
154,Zsolt PETO,SRB,1619
155,Kilian ORT,GER,1615
156,Jeremy HAZIN,CAN,1611
157,Segun TORIOLA,NGR,1596
158,ZHOU Yu,CHN,1581
159,Gavin RUMGAY,SCO,1575
160,PANG Yew En Koen,SGP,1572
161,Juan LAMADRID,CHI,1572
162,Masaki YOSHIDA,JPN,1567
163,Leonardo MUTTI,ITA,1542
164,Amir Hossein HODAEI,IRI,1530
165,Mawussi AGBETOGLO,TOG,1527
1661,FENG Yi-Hsin,TPE,1524
167,Tamas LAKATOS,HUN,1521
168,Sadi ISMAILOV,RUS,1509
169,Dean SHU,NZL,1503
170,Ibrahim GUNDUZ,TUR,1503
171,MA Te,CHN,1500
172,Nikhil KUMAR,USA,1497
173,Tom JARVIS,ENG,1491
174,Lionel WEBER,SUI,1491
175,Kai ZHANG,USA,1488
176,Ali ALKHADRAWI,KSA,1484
177,Vladimir SIDORENKO,RUS,1482
178,Gustavo GOMEZ,CHI,1479
179,Emil SANTOS,DOM,1476
180,CHEW Zhe Yu Clarence,SGP,1474
181,Vildan GADIEV,RUS,1473
182,Abdel-Kader SALIFOU,FRA,1464
183,Padasak TANVIRIYAVECHAKUL,THA,1452
184,HWANG Minha,KOR,1446
185,Diogo CARVALHO,POR,1437
186,Carlos MACHADO,ESP,1434
187,Quentin ROBINOT,FRA,1425
188,WANG Tai-Wei,TPE,1383
189,Laurens TROMER,NED,1374
190,Mohamed EL-BEIALI,EGY,1373
191,Jesus CANTERO,ESP,1369
192,Ewout OOSTWOUDER,NED,1359
193,Shihao WEI,CRO,1356
194,NG Pak Nam,HKG,1347
195,YANG Heng-Wei,TPE,1347
196,Jules ROLLAND,FRA,1335
197,Asuka MACHI,JPN,1329
198,Enzo ANGLES,FRA,1323
199,Adam HMAM,TUN,1298
200,Mudit DANI,IND,1289
201,Amin AHMADIAN,IRI,1266
202,Florian CNUDDE,BEL,1245
203,Tomas KONECNY,CZE,1227
2041,Yuto KIZUKURI,JPN,1209
205,Elias RANEFUR,SWE,1206
206,Abdullah YIGENLER,TUR,1194
207,LI Hon Ming,HKG,1191
208,Yujia ZHAI,DEN,1179
209,Youssef ABDEL-AZIZ,EGY,1173
210,Tobias RASMUSSEN,DEN,1173
211,Eric GLOD,LUX,1163
212,Nicholas TIO,USA,1161
213,KWAN Man Ho,HKG,1134
214,Luka MLADENOVIC,LUX,1130
215,Stephane OUAICHE,FRA,1122
216,Kokou Dodji FANNY,TOG,1118
217,Bastien REMBERT,FRA,1117
218,Xin YAN ,AUS,1100
219,Kakeru SONE,JPN,1095
220,Marko JEVTOVIC,SRB,1092
221,Laurens DEVOS,BEL,1092
222,Marko MEDJUGORAC,CAN,1077
223,Kurt LINGEVELDT,RSA,1063
224,Benjamin BROSSIER,FRA,1062
225,Andy PEREIRA,CUB,1062
226,Kane TOWNSEND,AUS,1058
227,Ricardo VILLA,MEX,1050
228,HAM Yu Song,PRK,1050
229,Michael TAUBER,ISR,1048
230,LIU Dingshuo,CHN,1041
231,KIM Minhyeok,KOR,1041
232,Alexander VALUCH,SVK,1035
233,Diogo CHEN,POR,1032
234,Tobias HIPPLER,GER,1024
235,Fanbo MENG,GER,998
236,Rajko GOMMERS,NED,975
237,Nathan XU,NZL,972
238,Taimu ARINOBU,JPN,972
239,Aleksandr TIUTRIUMOV,RUS,963
240,Rohan DHOORIA,AUS,960
2417,Hiroto SHINOZUKA,JPN,954
242,David POWELL,AUS,953
243,Alexandru CAZACU,ROU,951
244,Lars POSCH,SUI,939
245,HUNG Tzu-Hsiang,TPE,936
246,Cedric MEISSNER,GER,933
247,Andrei PUTUNTICA,MDA,930
248,Sanil SHETTY,IND,926
249,Carlos CABALLERO,ESP,923
250,Yoshua SHING,VAN,920
251,Alexander CHEN,AUT,918
252,Tomas MIKUTIS,LTU,912
253,Jordy PICCOLIN,ITA,912
254,David SERDAROGLU,AUT,910
255,POH Shao Feng Ethan,SGP,903
256,Alejandro TORANZOS,PAR,897
257,Ocean BELROSE,PYF,882
258,Mikhail PAIKOV,RUS,882
259,FANG Bo,CHN,864
260,Leo DE NODREST,FRA,863
261,Nils HOHMEIER,GER,861
262,Vadim YARASHENKA,BLR,861
263,Manuel MOYA,CHI,858
264,Jin UEDA,JPN,858
265,Daniele PINTO,ITA,857
266,Alex NAUMI,FIN,846
267,NGUYEN Anh Tu,VIE,843
268,Nicolas BURGOS,CHI,840
269,Abdulaziz BU SHULAYBI,KSA,839
270,Gedeon KASSA,COD,831
271,Yuki MATSUYAMA,JPN,825
272,Carlos FRANCO,ESP,822
273,Filip ZELJKO,CRO,821
274,Antoine HACHARD,FRA,819
275,Santiago LORENZO,ARG,816
276,Jorge CAMPOS,CUB,816
277,Yuma TSUBOI,JPN,798
278,Alessio ANTONIO,ANG,792
279,Eugene WANG,CAN,787
280,Denis IVONIN,RUS,783
281,Lev KATSMAN,RUS,777
282,Zaid ABO YAMAN,JOR,771
283,CHOONG Javen,MAS,768
284,Medardas STANKEVICIUS,LTU,765
285,YEH Chih-Wei,TPE,765
286,Nicolas GALVANO,ARG,762
287,Emiliano RIOFRIO,ECU,759
288,Jiaji WU ,DOM,750
289,Larbi BOURIAH,ALG,748
290,Alexey LIVENTSOV,RUS,747
291,Samuel NOVOTA,SVK,743
292,Miguel VILCHEZ,ESP,738
293,Gerrit ENGEMANN,GER,735
294,Maciej KOLODZIEJCZYK,AUT,734
295,Masaki TAKAMI,JPN,732
296,Kevin MONTUFAR,GUA,729
297,SUN Chia-Hung,TPE,729
298,Brian CHAN YOOK FO,MRI,729
299,SEO Hyundeok,KOR,726
300,Peter HRIBAR,SLO,723
301,ZHU Linfeng,CHN,720
302,Samuel KALUZNY,SVK,713
303,HUANG Yan-Cheng,TPE,711
304,Pattaratorn PASSARA,THA,705
305,Felipe OLIVARES,CHI,705
306,Tomas TREGLER,CZE,705
307,Koyo KANAMITSU,JPN,702
308,ZHOU Kai,CHN,699
309,Viacheslav BUROV,RUS,699
310,Cedric TSCHANZ,SUI,692
311,Yuya OSHIMA,JPN,690
312,Oba Kizito OBA,CIV,687
313,RI  Jong Sik,PRK,681
314,Patryk ZATOWKA,POL,681
315,Aly GHALLAB,EGY,681
316,Yusuke SADAMATSU,JPN,672
317,Angel NARANJO,PUR,670
318,Mehdi BOULOUSSA,FRA,666
319,KIM Daewoo,KOR,663
320,Dennis KLEIN,GER,663
321,Omri BEN ARI,ISR,657
322,KIM  Ok Chan,PRK,654
323,Miguel LARA,MEX,637
324,Shane OVERMEYER,RSA,636
325,Jiri MARTINKO,CZE,633
326,PARK Chan-Hyeok,KOR,633
327,Hector BERRIOS,PUR,621
328,Teodor ALEXANDROV,BUL,618
329,Geoffrey LOI,PNG,612
330,Setra RAKOTOARISOA,MAD,603
331,Mahmoud HELMY,EGY,603
332,Cecilio CORREA,VEN,600
333,Muhammad BABOOLALL,MRI,597
334,Elizandro ANDRE,ANG,597
335,Zo RAZAFINDRALAMBO,MAD,597
336,Michael MAZE,DEN,597
337,Matthew BALL,NZL,591
3388,Mohammed ABDULWAHHAB,QAT,589
339,Maxim CHAPLYGIN,RUS,588
340,Adrien RASSENFOSSE,BEL,586
341,Shady MAGDY,EGY,585
342,Dinyar IRANI,NZL,582
343,Soumyajit GHOSH,IND,582
344,Hibiki TAZOE,JPN,579
345,Ahmad Khalil AL-MOHANNADI,QAT,579
346,Vicky WU,FIJ,576
347,Marios YIANGOU,CYP,576
348,Martin BENTANCOR,ARG,573
349,Uladzislau RUKLIATSOU,BLR,564
350,Alexandru MANOLE,ROU,564
351,Monday OLABIYI,BEN,564
352,ZHAO Zhaoyan,CHN,561
353,Kohei SAMBE,JPN,561
354,KANG Dongsoo,KOR,558
355,Callum EVANS,WAL,556
356,Zeyad ALDMAISY,JOR,555
357,KIM Donghyun,KOR,555
358,Aleksa GACEV,SRB,552
359,Kutbidillo TESHABOEV,UZB,552
360,Axel GAVILAN,PAR,552
361,Denislav KODJABASHEV,BUL,552
362,Yonatan SHUSTERMAN,ISR,551
363,Samuel KULCZYCKI,POL,550
364,HAIQAL Muhamad Ashraf,MAS,549
365,Mounaim TIRSELT,MAR,546
366,Pedro OSIRO,SUI,545
367,Irvin BERTRAND,FRA,540
368,Stanislav KUCERA,CZE,540
369,Trent CARTER,AUS,540
370,CHIANG Hung-Chieh,TPE,540
371,Viktor YEFIMOV,UKR,539
372,Snehit SURAVAJJULA,IND,537
373,Hector GATICA,GUA,534
374,ZHANG Yudong,CHN,534
375,Dimitrije LEVAJAC,SRB,528
376,Aidos KENZHIGULOV,KAZ,528
377,KIM Song Il,PRK,528
378,Simon ARVIDSSON,SWE,522
379,YUAN Licen,CHN,519
380,Valentin PIERAERT,BEL,516
381,Naif AL-JADAI,KSA,511
382,Jeet CHANDRA,IND,510
383,Domingos MANUEL,ANG,510
384,Ronan AUBRY,NCL,504
385,Olav KOSOLOSKY,BEL,504
386,Matteo MUTTI,ITA,504
387,Bekulan ZHAMAL,KAZ,504
388,CHEONG Chi Cheng,MAC,501
389,Santiago OSORIO,PAR,501
390,Stanislav GOLOVANOV,BUL,501
391,CHUA Josh Shao Han,SGP,497
392,Edward LY,CAN,495
393,Siddhesh PANDE,IND,494
394,Mikael JOEL,ERI,492
395,Soudes ALASSANI,TOG,492
396,LEONG Chee Feng,MAS,489
397,Matthew LEHMANN,CAN,489
398,Santoo SHRESTHA,NEP,486
399,Alfred DELA PENA,NZL,483
400,Terrence MATHOLE,RSA,483
401,Theo COGILL,RSA,483
402,Jan MEDINA,VEN,481
403,Christian MBONGIA,COD,474
404,Salah ALBALUSHI,UAE,471
405,Joan MASIP,ESP,471
406,Gilles MICHELY,LUX,465
407,Sushmit SRIRAM,IND,462
408,Jo YOKOTANI,JPN,459
409,Adrian WETZEL,NOR,459
410,Imesh RANASINGHA,SRI,459
411,Mohamad HAMIE,LBN,459
412,CHOI Deokhwa,KOR,456
413,Rohan SIRISENA,SRI,454
414,Derek ABREFA,GHA,450
415,Richard GONZALES,PHI,450
416,BEH Kun Ting,SGP,449
417,Jonathan NATIVEL,MAD,447
418,Denis ZHOLUDEV,KAZ,446
419,Mohamed Sofiene BOUDJADJA,ALG,444
420,Adrian CRISAN,ROU,444
421,Thibaut DARCIS,BEL,441
422,Anton LIMONOV,UKR,440
423,Terence YEUNG,CAN,438
424,Rimas LESIV,LTU,438
425,Ye TIAN ,USA,438
426,Tomislav KOLAREK,CRO,435
427,Bydhir CARNET,PYF,432
428,XIA Yizheng,CHN,432
429,Alize BELROSE,PYF,432
430,Stephen RAVONISON,MAD,432
431,Tibor SPANIK,SVK,431
432,Faizan ZAHOOR,PAK,426
433,Alin SPELBUS,ROU,426
434,Abdulla ALBALOOSHI,UAE,423
435,Miad LOTFIJANABADI,IRI,420
436,Bogdan SINGEORZAN,ROU,414
437,Tobi FALANA,NGR,414
438,Kanate ALI,CIV,414
439,Mishel LEVINSKI,USA,408
440,Andy BRINGAUD,GAB,405
441,LU  Kaiyang,CHN,405
442,Benno OEHME,GER,402
443,SAI Linwei,CHN,402
444,RO Hyon Song,PRK,399
445,Romain RUIZ,FRA,396
446,Rodrigo TAPIA,ECU,393
447,Giorgos KONSTANTINOPOULOS,GRE,390
448,Paul MLADIN,ROU,387
449,Kerem BEN YAHIA,TUN,387
450,Heber MOSCOSO,GUA,386
451,Lorencio LUPULESKU,SRB,381
452,Borgar HAUG,NOR,379
453,Diego PIGUAVE,ECU,375
454,Filip RADOVIC,MNE,375
455,Chris DINGANGA,COD,375
456,BAEK Kwangil,KOR,372
457,Rafanael Nikola NIMAN,INA,369
458,RI Kwang Myong,PRK,369
459,Tilen CVETKO,SLO,366
460,PAK Sin Hyok,PRK,366
461,Abdulaziz AL-ABBAD,KSA,366
462,Pablo TABACHNIK,ARG,366
463,Shogo TAHARA,JPN,363
464,Manush Utpalbhai SHAH,IND,362
465,Gleb SHAMRUK,BLR,362
466,Alberto LILLO,ESP,361
467,Philip WING,FIJ,360
468,Shuainan CHEN ,ITA,357
469,Konstantinos KONSTANTINOPOULOS,GRE,351
470,Alfredas UDRA,LTU,351
471,Dauud CHEAIB,LBN,351
472,TAI Ming-Wei,TPE,348
473,Fumiya IGARASHI,JPN,348
474,Petr FEDOTOV,RUS,348
475,Mattia BERARDI,SMR,348
476,Christian NTUMBA NGELEKA,COD,348
477,Sora MATSUSHIMA,JPN,345
478,KOH Dominic Song Jun,SGP,345
479,Artur GRELA,POL,345
480,LAI Chi-Chien,TPE,345
481,Abiodun LAWAL,CGO,345
482,Thomas KEINATH,SVK,345
483,Mathan SIMON,ISR,342
484,Jose Antonio YOU PERDOMO,HON,342
485,Taiwo MATI,NGR,339
486,Florin SPELBUS,ROU,339
487,Ivan NIKULIN,RUS,339
488,YANG Tzu-Yi,TPE,339
489,Mohamed LAZAZI,ALG,339
490,Kirill FADEEV,GER,336
491,Maciej KUBIK,POL,332
492,Yanapong PANAGITGUN,THA,330
493,Jann Mari NAYRE,PHI,330
494,Cazuo MATSUMOTO,BRA,330
495,Rodrigo HIDALGO,PER,327
496,Ronit BHANJA,IND,327
497,Livan MARTINEZ,CUB,327
498,Sudhanshu GROVER,IND,326
499,Elmurod KHOLIKOV,UZB,326
500,Diego ORANTES,ESA,325
501,Mohamed SHOUMAN,EGY,324
